video_id,title,view_count,like_count,comment_count
ftQZo7XaTOA,최신 파이썬 코딩 무료 강의 | 2024 점프 투 파이썬 통합본,569859,11230,462
yytWGELNeOI,파이썬 무료 기초 강의 - 1강 파이썬이란 무엇인가?,831953,10582,782
T6z-0dpXPvU,파이썬 무료 강의 100분 완성 (1분 파이썬 모음),764970,13577,450
8lCfkW_dIY4,"파이썬 독학, 제발 설치부터 하지 마세요. (서울대 교수 무료 강의) (1/38)",5393,59,9
kWiCuklohdY,파이썬 코딩 무료 강의 (기본편) - 6시간 뒤면 여러분도 개발자가 될 수 있어요 [나도코딩],5836050,111675,13775
jrHwm-gNg5Y,코딩 왕초보 탈출 무료 강의 Python 기초 1강 ( by 서울대 교수 ),17169,409,25
x1VFfTz30VE,파이썬 당신이 지금 당장 배워야하는 이유 (파이썬 기초),8509,123,11
MeQBuFwdIio,고수들 github에 나오는 건방진 문법 #python,274548,1972,180
JE-rdjcNFVQ,파이썬 왕초보 기초 강의 완벽 마스터 하는 방법,798,17,5
59JGaJElY8Y,개발자가 보는 프로그래밍 언어좀 해봤다 하는 일반인,1040431,10773,1096
K5KVEU3aaeQ,Python Full Course for Beginners,6275027,146126,3827
Dkx8Pl6QKW0,파이썬 코딩 무료 강의 (활용편1) - 추억의 오락실 게임을 만들어 보아요. 3시간이면 충분합니다. [나도코딩],3030234,20141,2815
2FBX-JcZ2ks,"파이썬 코딩 기초 강좌 - 파이썬 프로그래밍의 기초, 자료형(2)",143766,2039,250
80yIVH2aOy0,python programming|python for beginners|python full course,1285492,21307,192
q2-pnQffZik,Learn Python for FREE in 2025,1098097,27564,211
WCM65ION4nE,Python Syllabus | Python for Beginners | Complete Python Course #pythonlearning,1031735,9963,14
_uQrJ0TkZlc,Python Full Course for Beginners,47690869,1248470,62298
hxgVtGGegC8,How to draw a triangle using turtle in Python,203852,2107,40
fXxUYb0s-pc,Impress your crush using Python Code ❤️,2538183,39939,515
zpW543qFsU4,[1분 파이썬] 2강 연산자(1)_교재제공,10432,115,1
W-8j4MrsX2s,Amazing Flower Design using Python turtle 🐢 #python #coding #funny #viral #trending #design,1607187,58488,414
IfKlGhRc7Dc,"Python Roadmap for Beginners! 🐍 Learn Python Programming Step-by-Step"" #python #conding",2828224,35946,108
nluUYtejoIE,Python Basics: Your FIRST Program in Under a Minute! 🚀,1200856,16111,130
GfWRxr1OBm4,Python Basics: The Best Way to Learn Python Programming (2024),2347563,31280,272
EmxXYzX6iEs,How to visualize data with Python in Excel. 🤯 #excel  #python #tutorial,101052,1810,13
LRhOzoxHlJo,Python AI And Generative AI Course For Beginners #ai #python #tutorial #course #study #learning,349649,10689,31
CMzbwSi8_q8,Programming#python#javascript#java#c++#assembly #coding,785697,16302,441
Mf9GCn_LsUI,Junior vs senior python developer 🐍 | #python #coding #programming #shorts  @Codingknowledge-yt,2587383,42162,885
gbYLsUngzLc,Top 10 Most Important Python Functions You Must Know! 🚀 | Python Tutorial for Beginners,214267,2312,12
0_zphmXBiZs,How To Call API In Python,103144,2364,15
ss-I6WAiMFA,Python LAMBDA FUNCTION?! #python #programming #coding,2766168,138249,1025
c0MNpou4zOA,How to create a virus using python🦠,1503635,23041,628
Ro_MScTDfU4,Learn Python in Only 30 Minutes (Beginner Tutorial),752339,22910,434
ix9cRaBkVe0,Python Full Course for free 🐍,9769827,303551,18651
tSZc6Mvqt78,Why This Turtle Graphics Python Tutorial is Worth Your Time,108069,1419,24
Wghz6w0btxI,Python Programming - A Full Course for Beginners (Learn Python in 2025!),128059,1415,19
kqtD5dpn9C8,Python for Beginners - Learn Coding with Python in 1 Hour,24238016,551467,27594
UByzZYqOHPY,Python pygame Tutorial #python #pygame #coding #programming,427677,2748,37
dZ8VrmzYL2A,Pygame - Display Image in Pygame python || Pygame python tutorial #python #pygame,1154863,14140,87
5EnpNI2iCZA,Apprendre Python en 1 heure - Cours Complet Débutant (4K),518217,15368,467
t8pPdKYpowI,Python Tutorial for Beginners - Learn Python in 5 Hours [FULL COURSE],6739389,169459,4055
vMV1s-1BKvc,Python courses for Beginners (FREE),1165683,49905,89
n-Rf3EJ_WaU,What Are Python DECORATORS?? #python #programming #coding,1963172,98828,601
IzEZseaUXJs,자기 자신을 그리는 그래프 #수학 #그래프 #파이썬,201725,5629,141
AQJbHAeUhzM,How to MASTER Python for FREE,621416,36278,203
iju6xKZacGQ,I Create Excel file in 5sec using Python || python excel || python pandas || python to excel #python,1448550,18453,199
E1kDTUf6bsA,Password generator in Python!,991737,57161,253
5B41CPvYMjY,The Ultimate Python Roadmap: From Beginner to Expert in 2025!,1300927,20998,105
vCcPAX4jVN8,Python code | Beautiful design usind python | Pydroid 3 App,803086,10746,133
bbaNaHQSwzQ,if in Python | Python tutorial for beginners,38755,252,14
